ID,קישור לאתר,שם,סוג,מספר,מספר פרטי,מספר פרטי טקסט,כנסת,סטטוס,סטטוס חיצוני,קוד סיבת עצירה,סיבת עצירה,רציפות,קטגוריה של הוועדה,ועדה מטפלת,יוזם ראשון,מגדר יוזם ראשון,קוד סיעה אחרונה יוזם ראשון,סיעה אחרונה יוזם ראשון,יוזמים,מצטרפים,הוסרו,פטור ק0,הנחה ק0,דיון ק0,הצבעה ק0,פטור ק1,הנחה ק1,דיון ק1,הצבעה ק1,פטור ק2,הנחה ק2,דיון ק2,הצבעה ק2,פטור ק3,הנחה ק3,דיון ק3,הצבעה ק3,פרסום,תחילה,תום תוקף,סדרת פרסום,מספר חוברת,מספר עמוד
1040059,לאתר,"הצעת חוק זכויות החולה (תיקון מס' 20) (מסירת מידע לצורך מניעת פגיעה), התשפ""ו-2025",ממשלתית,1913,NULL,NULL,25,141,הונחה על שולחן הכנסת לקריאה ראשונה,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1041438,לאתר,"הצעת חוק המקרקעין (תיקון מס' 39) (הצמדת חניות נגישות בבית משותף חדש), התשפ""ו-2025",ממשלתית,1905,NULL,NULL,25,141,הונחה על שולחן הכנסת לקריאה ראשונה,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1042100,לאתר,"הצעת חוק התקשורת (שידורים), התשפ""ו-2025",ממשלתית,1898,NULL,NULL,25,113,הכנה לקריאה שנייה ושלישית,NULL,NULL,NULL,הצעת חוק התקשורת,"הוועדה לדיון בהצעת חוק התקשורת (שידורים), התשפ""ו-2025 (מ/1898)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21/10/2025,03/11/2025,03/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1042240,לאתר,"הצעת חוק הטיס (תיקון מס' 7), התשפ""ו–2025",ממשלתית,1897,NULL,NULL,25,141,הונחה על שולחן הכנסת לקריאה ראשונה,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20/10/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1043724,לאתר,"הצעת חוק חובת דיווח על מלאי חיטה ומלאי מזון לבעלי חיים לשם היערכות למצב של מחסור משמעותי, התשפ""ו - 2025",ממשלתית,1914,NULL,NULL,25,113,הכנה לקריאה שנייה ושלישית,NULL,NULL,NULL,כלכלה,ועדת הכלכלה,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15/12/2025,06/01/2026,06/01/2026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1045508,לאתר,"הצעת חוק הפטנטים (תיקון מס' 15), התשפ""ו-2025",ממשלתית,1920,NULL,NULL,25,141,הונחה על שולחן הכנסת לקריאה ראשונה,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1045808,לאתר,"הצעת חוק מרשם בעלי שליטה בתאגידים, התשפ""ו-2025",ממשלתית,1903,NULL,NULL,25,141,הונחה על שולחן הכנסת לקריאה ראשונה,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1045860,לאתר,"חוק להפסקת פעילות אונר""א (תיקון), התשפ""ו-2025",ממשלתית,1896,NULL,NULL,25,118,התקבלה בקריאה שלישית,NULL,NULL,NULL,חוץ וביטחון,ועדת החוץ והביטחון,לימור סון הר מלך,נקבה,1106,עוצמה יהודית,"לימור סון הר מלך, יוליה מלינובסקי",NULL,NULL,NULL,NULL,NULL,NULL,NULL,20/10/2025,19/11/2025,19/11/2025,NULL,24/12/2025,29/12/2025,29/12/2025,NULL,NULL,29/12/2025,29/12/2025,31/12/2025,NULL,NULL,ספר החוקים,3477,192
1045865,לאתר,"הצעת חוק הטבות מס ליישובים (תיקוני חקיקה), התשפ""ו-2025",ממשלתית,1901,NULL,NULL,25,113,הכנה לקריאה שנייה ושלישית,NULL,NULL,NULL,כספים,ועדת הכספים,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,03/11/2025,12/11/2025,12/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1045890,לאתר,"הצעת חוק העמותות (תיקון מס' 20) (עיצומים כספיים), התשפ""ו- 2025",ממשלתית,1917,NULL,NULL,25,141,הונחה על שולחן הכנסת לקריאה ראשונה,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1045979,לאתר,"הצעת חוק הפצת שידורים באמצעות תחנות שידור ספרתיות (תיקון מס' 7 – הוראת שעה) (תיקון מס' 2), התשפ""ו-2025",ממשלתית,1902,NULL,NULL,25,141,הונחה על שולחן הכנסת לקריאה ראשונה,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10/11/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1046069,לאתר,"חוק שירות לאומי-אזרחי (תיקון מס' 8), התשפ""ו-2025",ממשלתית,1900,NULL,NULL,25,118,התקבלה בקריאה שלישית,NULL,NULL,NULL,חוץ וביטחון,ועדת החוץ והביטחון,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,03/11/2025,12/11/2025,12/11/2025,1,17/11/2025,17/11/2025,18/11/2025,1,NULL,17/11/2025,18/11/2025,18/11/2025,16/11/2025,NULL,ספר החוקים,3458,18
1046091,לאתר,"הצעת חוק שיקום נזקי מלחמה בדרך של התחדשות עירונית, התשפ""ו-2025",ממשלתית,1907,NULL,NULL,25,113,הכנה לקריאה שנייה ושלישית,NULL,NULL,NULL,פנים והגנת הסביבה,ועדת הפנים והגנת הסביבה,יעקב אשר,זכר,1101,יהדות התורה,יעקב אשר,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19/11/2025,02/12/2025,02/12/2025,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
