כנסת,שם,קוד שחקן,קוד משתמש,מגדר,קוד תפקיד,תפקיד,התחלה,סיום,סיבת סיום כהונה,סיבת חזרה לכהונה,החליף את
25,אבי דיכטר,4395,4395,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,אבי מעוז,30814,32696,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,אביגדור ליברמן,427,427,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,אביחי אברהם בוארון,30880,34722,זכר,43,חבר הכנסת,31/03/2023,14/10/2023,"כהונת חה""כ פסקה בשל התחדשות חברות ח""כ אחר",NULL,אמסלם דוד
25,אביחי אברהם בוארון,30880,34722,זכר,43,חבר הכנסת,30/06/2024,NULL,NULL,NULL,דנון דני
25,אברהם בצלאל,30480,31590,זכר,43,חבר הכנסת,15/11/2022,20/07/2025,"התפטרות חה""כ מהכנסת",NULL,NULL
25,אוהד טל,30830,34360,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,אופיר אקוניס,12937,12937,זכר,43,חבר הכנסת,15/11/2022,10/02/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,אופיר כץ,30701,32022,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,אופיר סופר,30717,32029,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,אורי מקלב,11835,11835,זכר,43,חבר הכנסת,15/11/2022,25/01/2023,התפטרות חבר ממשלה מהכנסת,NULL,NULL
25,אורי מקלב,11835,11835,זכר,43,חבר הכנסת,16/07/2025,NULL,NULL,"כהונת חה""כ התחדשה",ברוכי אליהו
25,אוריאל בוסו,30765,32439,זכר,43,חבר הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,אורית מלכה סטרוק,23551,23551,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,אורית פרקש הכהן,30685,32036,נקבה,61,חברת הכנסת,15/11/2022,NULL,NULL,NULL,NULL
25,אורנה ברביבאי,30681,32002,נקבה,61,חברת הכנסת,15/11/2022,01/08/2023,"התפטרות חה""כ מהכנסת",NULL,NULL
25,אושר שקלים,30876,34632,זכר,43,חבר הכנסת,15/02/2023,NULL,NULL,NULL,כהן אלי
