ID,קישור,Session Date,Vote Date Time,Session ID,Item ID,Ordinal,Vote Method ID,Vote Method Desc,Vote Status Code,Vote Status Desc,Vote Title,Vote Subject,Is No Confidence In Gov,Last Updated Date,For Option ID,For Option Desc,Against Option ID,Against Option Desc
37658,"=HYPERLINK(""https://main.knesset.gov.il/Activity/plenum/Votes/Pages/vote.aspx?voteId=37658"", ""לאתר"" )",2022-11-16 00:00:00,2022-11-16 00:00:00,2196130,2197188,1,2,שמית,7,מפורסם,הודעת יושב ראש הוועדה המסדרת על בחירת ועדות זמניות לענייני כספים ולענייני חוץ וביטחון,,0,2022-11-19 02:06:27.807000,28,לקבל את הצעת הוועדה המסדרת,24,לדחות את ההצעה
37674,"=HYPERLINK(""https://main.knesset.gov.il/Activity/plenum/Votes/Pages/vote.aspx?voteId=37674"", ""לאתר"" )",2022-12-07 00:00:00,2022-12-07 13:37:00,2198005,2198015,1,1,אלקטרונית,7,מפורסם,בחירת סגנים זמניים ליושב ראש הכנסת,NULL,0,2022-12-11 10:44:53.470000,38,לאשר את ההצעה,24,לדחות את ההצעה
37686,"=HYPERLINK(""https://main.knesset.gov.il/Activity/plenum/Votes/Pages/vote.aspx?voteId=37686"", ""לאתר"" )",2022-12-12 00:00:00,2022-12-13 10:00:00,2198207,2198226,1,2,שמית,7,מפורסם,בחירת יושב ראש הכנסת ה-25,,0,2022-12-21 13:55:28.843000,38,לאשר את ההצעה,24,לדחות את ההצעה
37687,"=HYPERLINK(""https://main.knesset.gov.il/Activity/plenum/Votes/Pages/vote.aspx?voteId=37687"", ""לאתר"" )",2022-12-12 00:00:00,2022-12-13 10:20:00,2198207,2198226,1,2,שמית,7,מפורסם,בחירת יושב ראש הכנסת ה-25,,0,2022-12-21 13:55:52.630000,38,לאשר את ההצעה,24,לדחות את ההצעה
37688,"=HYPERLINK(""https://main.knesset.gov.il/Activity/plenum/Votes/Pages/vote.aspx?voteId=37688"", ""לאתר"" )",2022-12-12 00:00:00,2022-12-13 10:39:00,2198207,2198226,1,2,שמית,7,מפורסם,בחירת יושב ראש הכנסת ה-25,,0,2022-12-21 13:56:15.847000,38,לאשר את ההצעה,24,לדחות את ההצעה
37689,"=HYPERLINK(""https://main.knesset.gov.il/Activity/plenum/Votes/Pages/vote.aspx?voteId=37689"", ""לאתר"" )",2022-12-13 00:00:00,2022-12-13 00:00:00,2198208,2196976,1,2,שמית,7,מפורסם,הצעת חוק-יסוד: הממשלה (תיקון - כשירותם של שרים),,0,2022-12-15 08:40:00.920000,32,להעביר את הצעת החוק לוועדה שתקבע הוועדה המסדרת להכנה לקריאה ראשונה,24,לדחות את ההצעה
37690,"=HYPERLINK(""https://main.knesset.gov.il/Activity/plenum/Votes/Pages/vote.aspx?voteId=37690"", ""לאתר"" )",2022-12-13 00:00:00,2022-12-13 00:00:00,2198208,2198191,1,2,שמית,7,מפורסם,"הצעת חוק לתיקון פקודת המשטרה (סמכויות), התשפ""ג-2022",,0,2022-12-15 08:44:13.707000,32,להעביר את הצעת החוק לוועדה שתקבע הוועדה המסדרת להכנה לקריאה ראשונה,24,לדחות את ההצעה
37723,"=HYPERLINK(""https://main.knesset.gov.il/Activity/plenum/Votes/Pages/vote.aspx?voteId=37723"", ""לאתר"" )",2022-12-13 00:00:00,2022-12-13 09:55:00,2198208,2198094,1,2,שמית,7,מפורסם,הקמת ועדות מיוחדות לדיון בחקיקה לקראת כינון הממשלה," הודעת יו""ר הוועדה המסדרת לעניין בחירת ועדה מיוחדת לדיון בהצעת חוק-יסוד: הממשלה (תיקון – שר נוסף במשרד), פ/81/25, ובהצעת חוק-יסוד: הממשלה (תיקון – כשירותם של שרים), פ/91/25",0,2022-12-21 13:32:33.040000,38,לאשר את ההצעה,24,לדחות את ההצעה
37724,"=HYPERLINK(""https://main.knesset.gov.il/Activity/plenum/Votes/Pages/vote.aspx?voteId=37724"", ""לאתר"" )",2022-12-13 00:00:00,2022-12-13 10:10:00,2198208,2198094,1,2,שמית,7,מפורסם,הקמת ועדות מיוחדות לדיון בחקיקה לקראת כינון הממשלה,"ההודעה השנייה של יושב-ראש הוועדה המסדרת לעניין בחירת ועדה מיוחדת לדיון בהצעת חוק לתיקון פקודת המשטרה (סמכויות), התשפ""ג–2022, פ/80/25",0,2022-12-21 13:31:34.560000,38,לאשר את ההצעה,24,לדחות את ההצעה
37683,"=HYPERLINK(""https://main.knesset.gov.il/Activity/plenum/Votes/Pages/vote.aspx?voteId=37683"", ""לאתר"" )",2022-12-13 00:00:00,2022-12-13 21:37:00,2198208,2198130,3,1,אלקטרונית,7,מפורסם,הצעת חוק-יסוד: הממשלה (תיקון - שר נוסף במשרד),NULL,0,2022-12-15 08:33:22.463000,32,להעביר את הצעת החוק לוועדה שתקבע הוועדה המסדרת להכנה לקריאה ראשונה,24,לדחות את ההצעה
